City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,oros,-6.24,-38.91,69.53,81,88,4.05,BR,1594100636
148,pacific grove,36.62,-121.92,57.2,82,90,9.17,US,1594100636
149,sao filipe,14.9,-24.5,73.63,80,78,4.43,CV,1594100636
150,beringovskiy,63.05,179.32,49.5,77,95,1.74,RU,1594100636
151,nara,34.69,135.8,80.01,88,75,17.22,JP,1594100408
152,utica,43.1,-75.23,69.8,64,1,4.7,US,1594100532
153,korocha,50.81,37.2,77.0,69,22,6.71,RU,1594100636
154,vereeniging,-26.67,27.93,48.0,48,0,2.19,ZA,1594100636
155,magole,-6.37,37.37,72.9,57,23,4.18,TZ,1594100636
156,evora,38.57,-7.9,68.0,68,0,2.24,PT,1594100636
157,ternate,0.8,127.4,83.52,74,71,4.27,ID,1594100636
158,bowen,-20.02,148.23,73.99,68,90,14.99,AU,1594100636
159,zaysan,47.47,84.87,72.32,46,100,8.41,KZ,1594100636
160,richards bay,-28.78,32.04,62.46,31,0,3.83,ZA,1594100636
161,moranbah,-22.0,148.05,69.03,55,63,14.27,AU,1594100637
162,dakar,14.69,-17.44,80.6,83,20,3.8,SN,1594100637
163,mao,39.89,4.27,71.6,64,0,14.99,ES,1594100637
164,itarema,-2.92,-39.92,74.37,92,38,8.14,BR,1594100637
165,hays,30.05,-98.03,82.0,76,71,5.01,US,1594100535
166,marsa matruh,31.35,27.25,71.6,88,20,6.93,EG,1594100637
167,tabasco,18.0,-92.67,77.59,92,82,4.97,MX,1594100637
168,husavik,66.04,-17.34,33.8,100,18,2.39,IS,1594100637
169,cabatuan,10.88,122.49,89.78,62,17,10.4,PH,1594100637
170,vila velha,-20.33,-40.29,66.0,93,0,2.24,BR,1594100637
171,sri aman,1.24,111.46,84.2,83,75,3.36,MY,1594100637
172,namibe,-15.2,12.15,66.16,69,0,6.15,AO,1594100637
173,ancud,-41.87,-73.82,37.0,100,94,2.24,CL,1594100637
174,tiksi,71.69,128.87,37.72,88,96,7.2,RU,1594100637
175,nhulunbuy,-12.23,136.77,80.6,65,75,14.99,AU,1594100637
176,arraial do cabo,-22.97,-42.03,71.46,90,0,10.02,BR,1594100637
177,margate,51.38,1.39,60.01,69,33,1.99,GB,1594100637
178,la cruz,23.92,-106.9,82.0,76,100,1.01,MX,1594100637
179,padang,-0.95,100.35,84.61,68,67,5.17,ID,1594100638
180,klaksvik,62.23,-6.59,44.6,81,95,18.34,FO,1594100638
181,narsaq,60.92,-46.05,44.6,75,96,2.24,GL,1594100638
182,kargil,34.57,76.1,61.88,29,0,1.23,IN,1594100638
183,waterloo,43.47,-80.52,71.01,93,1,1.72,CA,1594100610
184,almeirim,-1.52,-52.58,72.77,93,31,2.77,BR,1594100638
185,santa fe,-31.63,-60.7,48.0,80,83,4.0,AR,1594100348
186,guerrero negro,27.98,-114.06,69.08,76,0,9.04,MX,1594100638
187,key west,24.56,-81.78,86.0,66,1,5.82,US,1594100441
188,royan,45.63,-1.03,55.99,71,25,4.7,FR,1594100638
189,portland,45.52,-122.68,62.6,67,90,5.82,US,1594100635
190,russell,32.35,-85.2,77.0,94,40,1.23,US,1594100638
191,sisimiut,66.94,-53.67,45.32,80,100,1.68,GL,1594100638
192,naze,28.37,129.48,86.0,89,75,14.99,JP,1594100638
193,muravlenko,63.79,74.52,77.2,48,23,14.09,RU,1594100638
194,paamiut,61.99,-49.67,41.16,92,100,15.21,GL,1594100638
195,trelew,-43.25,-65.31,36.37,83,0,10.85,AR,1594100638
196,le port,-20.94,55.29,75.2,78,10,18.34,RE,1594100638
197,taybad,34.74,60.78,86.58,13,0,21.88,IR,1594100638
198,santa engracia,41.94,-1.32,59.0,62,0,18.34,ES,1594100638
199,fortuna,40.6,-124.16,57.0,82,90,9.17,US,1594100638
200,honiara,-9.43,159.95,87.8,74,20,11.41,SB,1594100639
201,hamilton,39.18,-84.53,72.0,94,1,5.82,US,1594100639
202,rio grande,-32.03,-52.1,51.26,77,100,9.86,BR,1594100639
203,ahipara,-35.17,173.17,54.99,72,29,13.15,NZ,1594100639
204,alindao,5.03,21.21,70.48,96,100,3.38,CF,1594100639
205,saint george,37.1,-113.58,89.6,4,1,10.29,US,1594100639
206,siderno,38.28,16.3,75.99,83,40,6.93,IT,1594100639
207,antofagasta,-23.65,-70.4,57.2,82,90,3.36,CL,1594100639
208,malanje,-9.54,16.34,52.83,42,6,6.76,AO,1594100639
209,bambous virieux,-20.34,57.76,77.0,88,75,6.93,MU,1594100639
210,manaure,11.78,-72.44,79.9,81,20,10.89,CO,1594100639
211,pokosnoye,55.53,101.05,84.25,39,38,6.53,RU,1594100639
212,shache,38.42,77.24,92.37,13,0,6.93,CN,1594100370
213,ghanzi,-21.57,21.78,49.6,42,0,6.76,BW,1594100639
214,port hardy,50.7,-127.42,57.2,76,90,5.82,CA,1594100572
215,farah,32.5,62.5,88.41,12,40,8.08,AF,1594100639
216,port blair,11.67,92.75,82.44,78,100,9.84,IN,1594100352
217,labuhan,-6.88,112.21,85.8,63,62,3.53,ID,1594100640
218,kuryk,43.2,51.65,95.56,17,0,8.63,KZ,1594100640
219,kudahuvadhoo,2.67,72.89,84.2,74,98,10.07,MV,1594100640
220,namatanai,-3.67,152.43,82.65,78,43,9.69,PG,1594100640
221,wuning,29.26,120.23,77.34,94,100,4.25,CN,1594100640
222,pisco,-13.7,-76.22,60.01,93,40,2.24,PE,1594100412
223,saint-philippe,-21.36,55.77,71.6,94,75,18.34,RE,1594100640
224,alofi,-19.06,-169.92,75.2,83,28,6.93,NU,1594100492
225,pangai,-19.8,-174.35,78.8,83,75,16.11,TO,1594100640
226,rawson,-43.3,-65.1,38.55,78,0,13.2,AR,1594100563
227,san policarpo,12.18,125.51,85.96,70,33,7.65,PH,1594100640
228,vila,42.03,-8.16,64.0,85,3,1.01,PT,1594100640
229,keokuk,40.4,-91.38,75.0,100,1,0.51,US,1594100640
230,saint-raphael,19.43,-72.2,73.27,91,95,1.28,HT,1594100640
231,nanortalik,60.14,-45.24,40.39,83,94,1.88,GL,1594100640
232,arya,33.6,73.07,95.0,47,0,3.91,PK,1594100622
233,srednekolymsk,67.45,153.68,54.95,80,100,7.18,RU,1594100640
234,kungurtug,50.6,97.52,78.49,35,94,4.47,RU,1594100640
235,da lat,11.95,108.44,76.77,64,1,5.93,VN,1594100640
236,the valley,18.22,-63.06,82.4,83,20,14.99,AI,1594100641
237,mopipi,-21.18,24.88,50.13,47,0,7.34,BW,1594100641
238,maldonado,-34.67,-54.92,48.2,81,75,6.93,UY,1594100641
239,ugoofaaru,5.67,73.0,83.71,66,99,4.74,MV,1594100641
240,pravdinskiy,56.07,37.85,78.01,57,0,6.71,RU,1594100641
241,oranjemund,-28.55,16.43,56.79,81,100,8.72,NA,1594100641
242,miracema do tocantins,-9.56,-48.4,70.2,54,0,2.82,BR,1594100641
243,poya,-21.35,165.15,70.75,62,98,6.87,NC,1594100641
244,fort morgan,40.25,-103.8,73.4,33,1,9.17,US,1594100641
245,belyy yar,53.6,91.39,75.2,64,76,2.24,RU,1594100641
246,pimentel,-6.84,-79.93,63.16,85,100,14.65,PE,1594100641
247,peleduy,59.63,112.74,67.1,66,94,5.61,RU,1594100641
248,pokhara,28.23,83.98,79.56,76,100,4.34,NP,1594100568
249,paita,-5.09,-81.11,63.97,84,96,12.5,PE,1594100641
250,mazarron,37.6,-1.31,73.0,59,0,1.01,ES,1594100641
251,sao joao da barra,-21.64,-41.05,68.16,88,0,6.51,BR,1594100621
252,moron,-34.65,-58.62,46.0,100,34,2.24,AR,1594100641
253,kirensk,57.79,108.11,84.04,34,81,8.7,RU,1594100641
254,fort-shevchenko,44.51,50.26,93.61,25,0,11.79,KZ,1594100642
255,alice springs,-23.7,133.88,60.8,29,0,8.05,AU,1594100608
256,mahebourg,-20.41,57.7,75.2,88,75,6.93,MU,1594100642
257,acari,-15.43,-74.62,60.06,67,72,5.93,PE,1594100642
258,praia da vitoria,38.73,-27.07,68.0,94,40,8.55,PT,1594100642
259,dunedin,-45.87,170.5,45.0,84,99,10.0,NZ,1594100642
260,broome,42.25,-75.83,66.99,88,1,9.17,US,1594100642
261,marawi,8.0,124.29,84.99,78,86,7.0,PH,1594100642
262,berlevag,70.86,29.09,48.2,87,75,14.99,NO,1594100642
263,aklavik,68.22,-135.01,48.2,76,20,10.29,CA,1594100642
264,coos bay,43.37,-124.22,59.0,77,90,3.36,US,1594100642
265,chuy,-33.7,-53.46,45.86,79,97,5.7,UY,1594100642
266,tabou,4.42,-7.35,74.8,83,100,6.55,CI,1594100642
267,boulder,40.08,-105.35,75.99,27,1,4.7,US,1594100642
268,te anau,-45.42,167.72,39.65,89,90,7.23,NZ,1594100642
269,vardo,70.37,31.11,48.2,93,75,11.41,NO,1594100642
270,tara,56.89,74.37,72.37,74,72,3.38,RU,1594100643
271,birin,26.89,88.07,80.6,100,75,8.05,NP,1594100643
272,rocha,-34.48,-54.33,45.82,86,69,3.78,UY,1594100643
273,faanui,-16.48,-151.75,78.8,79,44,13.33,PF,1594100643
274,lasa,46.62,10.7,48.2,81,5,6.93,IT,1594100643
275,svetlyy,54.67,20.13,57.2,87,40,13.42,RU,1594100643
276,jinchang,38.5,102.17,93.16,14,39,9.17,CN,1594100643
277,jos,9.92,8.9,66.16,89,97,4.25,NG,1594100643
278,takoradi,4.88,-1.76,76.21,88,99,10.0,GH,1594100643
279,aboso,5.36,-1.95,73.06,95,99,3.76,GH,1594100643
280,leh,34.17,77.58,62.91,28,6,5.08,IN,1594100643
281,daru,-9.08,143.21,78.73,81,60,18.72,PG,1594100643
282,kirakira,-10.45,161.92,82.36,79,51,11.25,SB,1594100643
283,cordoba,-31.41,-64.18,45.0,70,96,3.36,AR,1594100352
284,abdulino,53.7,53.67,79.36,64,3,2.64,RU,1594100643
285,fort frances,48.6,-93.4,62.01,93,1,3.36,CA,1594100643
286,vestmannaeyjar,63.44,-20.27,51.13,86,42,9.13,IS,1594100644
287,barzas,55.72,86.32,73.4,60,40,8.95,RU,1594100644
288,cap-chat,49.1,-66.68,56.44,87,33,3.69,CA,1594100644
289,awjilah,29.11,21.29,74.82,74,0,12.5,LY,1594100644
290,seoul,37.57,126.98,80.6,65,75,4.7,KR,1594100439
291,vila franca do campo,37.72,-25.43,66.2,93,40,12.75,PT,1594100644
292,taoudenni,22.68,-3.98,93.43,11,0,4.88,ML,1594100644
293,yar-sale,66.83,70.83,79.63,43,19,10.2,RU,1594100644
